Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
271998,4.38,64.68,994.15,0,400,48.846475,2.613584
273084,4.35,64.68,994.25,0,400,48.846439,2.613581
274170,4.34,64.56,994.2,0,400,48.846402,2.613578
275256,4.31,64.66,994.28,0,404,48.846363,2.613568
276342,4.28,64.59,994.3,0,401,48.846333,2.613567
277428,4.28,64.72,994.33,0,402,48.846302,2.613571
278514,4.25,64.6,994.38,0,407,48.846272,2.613569
279600,4.23,64.74,994.4,0,400,48.846239,2.613559
280686,4.22,64.75,994.43,0,416,48.846207,2.613555
281774,4.2,64.76,994.35,0,410,48.846175,2.613551
282860,4.2,64.77,994.43,0,404,48.846139,2.613541
283946,4.16,64.8,994.43,0,403,48.846059,2.613483
285032,4.14,64.8,994.5,0,408,48.846025,2.613458
286118,4.13,64.8,994.45,0,408,48.845986,2.613435
287204,4.13,64.67,994.5,0,413,48.845944,2.6134
288290,4.1,64.65,994.45,0,419,48.845912,2.613366
289376,4.11,64.48,994.53,0,442,48.845882,2.613331
290462,4.11,64.16,994.53,0,428,48.845853,2.613313
291550,4.11,64.59,994.7,0,425,48.845824,2.613305
292636,4.11,64.39,994.55,0,422,48.84579,2.613308
293722,4.1,64.42,994.53,0,421,48.845756,2.613307
294808,4.08,64.63,994.53,0,403,48.845719,2.613314
295894,4.09,64.75,994.55,0,400,48.8457,2.61333
296980,4.06,64.41,994.63,0,400,48.845656,2.61337
298066,4.05,64.64,994.63,0,402,48.845636,2.613405
299152,4.04,64.6,994.6,0,400,48.845623,2.613452
300241,4.02,64.61,994.65,0,405,48.84543,2.613408
301327,4.01,64.74,994.73,0,400,48.845427,2.613468
302413,3.99,64.84,994.7,0,400,48.845427,2.613514
303499,3.99,64.7,994.8,0,403,48.845427,2.613552
304585,3.97,64.7,994.73,0,415,48.845426,2.613582
305671,3.96,64.83,994.85,0,412,48.845421,2.613615
306757,4.01,64.91,994.68,0,419,48.845419,2.613653
307843,4.0,64.83,994.65,0,422,48.845425,2.613701
308929,4.02,64.88,994.73,0,413,48.84544,2.613809
310017,4.02,64.76,994.75,0,423,48.845448,2.613866
311103,4.02,64.72,994.7,0,421,48.845457,2.613925
312189,4.03,64.8,994.75,0,405,48.845464,2.613983
313275,4.01,64.72,994.78,0,400,48.845475,2.614041
314361,4.0,64.68,994.75,0,402,48.845492,2.614095
315447,4.0,64.79,994.83,0,400,48.845509,2.61415
316533,3.99,64.71,994.9,0,417,48.84551,2.614207
317619,3.98,65.12,994.85,0,400,48.845508,2.61426
318705,3.96,65.24,994.83,0,404,48.8455,2.614305
319793,3.94,65.1,994.9,0,400,48.845495,2.614359
320879,3.93,65.16,994.93,0,400,48.845489,2.61441
321965,3.9,65.4,995.08,0,400,48.845472,2.614524
323051,3.88,65.2,995.05,0,408,48.845462,2.614576
324137,3.86,65.11,995.1,0,404,48.845451,2.614628
325223,3.86,65.2,995.15,0,405,48.845441,2.61468
326309,3.84,65.19,995.15,0,402,48.845429,2.614733
327395,3.85,65.21,995.13,0,418,48.845406,2.61478
328481,3.84,65.19,995.15,0,400,48.845376,2.614823
329570,3.83,64.97,995.2,0,400,48.845344,2.614862
330656,3.83,65.09,995.23,0,406,48.845309,2.614886
331742,3.82,65.3,995.18,0,419,48.845276,2.614911
332828,3.81,65.27,995.15,0,405,48.845246,2.614927
333914,3.83,65.2,995.18,0,433,48.845179,2.614946
335000,3.84,65.26,995.2,0,434,48.84514,2.614969
336086,3.84,65.17,995.2,0,429,48.845098,2.615005
337172,3.84,65.08,995.15,0,422,48.845057,2.615029
338258,3.83,64.98,995.15,0,420,48.845015,2.615051
339347,3.83,65.16,995.08,0,430,48.844973,2.615066
340433,3.84,65.23,995.1,0,440,48.844931,2.615077
341519,3.86,65.13,995.05,0,442,48.844891,2.615078
342605,3.88,65.27,994.9,0,433,48.844852,2.615073
343691,3.89,65.41,994.9,0,441,48.844814,2.615068
344777,3.9,65.31,994.88,0,445,48.844775,2.615063
345863,3.93,65.21,994.8,0,439,48.844737,2.615058
346949,3.95,64.98,994.75,0,436,48.844664,2.615053
348038,3.98,65.09,994.65,8,451,48.844629,2.61505
349124,4.01,65.22,994.63,0,441,48.844594,2.615045
350210,4.06,65.25,994.5,0,458,48.844559,2.615043
351296,4.1,65.24,994.48,10,458,48.844526,2.615042
352382,4.11,65.06,994.45,3,453,48.844493,2.615045
353468,4.14,65.12,994.3,9,453,48.844459,2.615049
354554,4.16,65.37,994.28,0,460,48.844425,2.615052
355640,4.19,65.54,994.28,3,452,48.844394,2.615053
356726,4.21,65.49,994.25,1,439,48.844365,2.615057
357815,4.21,65.46,994.25,3,446,48.844338,2.615062
358901,4.23,65.45,994.28,0,438,48.84431,2.615073
359987,4.22,65.22,994.28,0,435,48.844253,2.615086
361073,4.21,65.1,994.25,0,439,48.844236,2.615117
362159,4.22,65.09,994.2,0,433,48.84422,2.615153
363245,4.23,65.22,994.15,0,427,48.844199,2.61518
364331,4.23,65.33,994.15,0,425,48.844175,2.615194
